,x,y
75,19.094,1.5685
354,17.546,0.1327
423,17.262,-1.0689
466,14.479,0.053981
113,14.953,0.51987
480,15.133,-1.1108
101,11.908,-1.3325
389,18.067,-0.8492
45,14.921,0.67022
208,18.332,1.2605
231,12.983,-1.6985
198,16.982,-1.0997
291,17.839,2.098
136,16.674,0.13442
415,19.979,1.7226
151,14.938,-2.2648
53,18.929,0.9565
85,16.623,0.018329
425,16.743,-2.1217
490,14.523,-2.7412
66,15.652,1.7813
192,16.127,1.0837
37,12.633,1.1371
207,16.393,1.5723
115,13.958,-0.5008
2,16.733,1.5774
162,15.843,1.3572
311,13.419,-1.8055
81,20.867,2.2477
381,20.814,1.7137
472,18.219,2.9029
171,12.987,-1.8205
416,16.404,1.0907
34,18.518,2.7469
62,20.712,2.7975
313,16.608,1.4033
275,18.711,0.82728
245,17.349,1.7973
448,14.147,-2.0179
178,15.765,-1.5332
402,12.792,-1.0041
408,16.595,-0.83232
112,19.361,1.9282
435,11.997,-0.53311
498,15.613,1.8019
375,12.853,-1.2813
67,14.975,1.2842
391,14.888,1.0473
95,16.438,-0.37923
345,20.218,1.4516
215,15.009,-1.5368
433,19.514,-1.0518
177,10.867,-1.4784
333,15.869,0.44062
88,21.493,1.3222
10,14.977,-2.6211
457,13.592,0.99345
96,13.345,-0.11601
190,14.054,-0.4613
360,15.717,-0.52549
217,14.549,0.30185
167,18.527,2.2817
283,12.697,-1.4271
486,15.978,0.81834
19,17.662,0.96854
253,19.423,-0.26331
371,16.55,1.2998
432,16.554,-0.76471
452,14.232,0.37915
239,17.396,0.61067
413,17.599,-0.2089
211,17.978,-0.10905
92,13.95,-0.40951
251,16.076,-2.0442
497,16.777,-2.6903
356,18.381,0.069913
97,19.224,1.2681
369,16.242,-0.96917
280,14.147,-1.4434
130,20.743,2.822
431,11.962,-1.2224
327,16.139,1.4691
229,20.887,1.7726
4,15.268,0.65322
73,17.939,0.63618
125,12.747,-2.2353
325,13.901,-3.1765
301,20.965,0.86597
477,14.405,1.0299
319,14.897,-2.732
411,16.032,-0.40082
129,15.806,-0.12715
373,18.248,1.9567
41,13.725,1.146
70,14.777,-1.5625
158,11.775,-0.60059
297,13.551,-0.81651
114,18.801,0.4638
463,13.393,-0.94196
191,20.454,3.1587
69,15.482,-2.2499
119,19.065,0.71565
403,20.495,-0.11856
164,7.325,-3.3425
417,15.926,-2.538
418,20.618,1.8394
455,16.02,0.60525
148,19.698,1.2224
372,12.675,-0.23186
172,19.446,1.113
442,18.488,-0.066065
459,14.553,0.8288
54,20.154,0.41421
1,16.671,-1.0723
377,23.005,4.8695
180,14.138,-1.2446
133,14.901,1.3971
438,9.8114,-0.86422
277,12.743,-0.86451
250,12.85,-1.5379
185,15.063,1.2701
15,17.658,0.71319
72,13.274,-2.8395
267,15.268,-1.1516
330,14.975,-0.48462
223,18.198,0.88574
132,17.52,0.567
139,14.256,0.7446
419,13.708,-0.66098
342,17.319,-0.62339
74,17.361,-0.70013
258,14.292,0.12719
241,17.767,0.88695
484,21.764,1.561
79,19.918,1.8763
147,16.428,0.491
203,17.897,0.53825
226,16.62,-0.16659
491,22.82,0.96798
424,21.908,3.4533
6,12.556,-0.91554
232,14.146,-0.46782
407,19.12,-0.5543
39,13.754,-1.3071
189,13.444,-2.2293
470,12.907,-0.28479
77,13.402,-1.1964
212,16.471,0.27202
410,14.697,-1.5851
284,19.155,3.2682
225,13.317,-1.8464
43,13.89,-1.9802
154,15.664,0.64006
348,19.77,-0.077887
316,17.639,1.0555
138,21.644,2.2686
374,15.517,0.41074
341,18.346,1.7578
29,19.731,1.946
221,15.349,-0.62974
447,13.369,-0.8074
137,17.244,0.78931
155,13.03,-1.4147
385,13.565,-0.50209
499,11.272,-3.7823
71,15.72,-0.2291
52,14.551,-2.3693
153,14.409,0.39645
363,13.766,-0.00041813
269,15.152,0.57311
166,12.491,-2.5096
256,17.38,1.116
488,11.208,-1.9548
