,x,y
3,5.3682,-10.797
10,5.0771,-10.025
17,7.6806,-11.651
26,7.6031,-12.087
38,4.5398,-11.28
39,5.019,-12.188
40,4.0978,-11.521
41,6.321,-10.884
46,3.622,-14.545
49,7.6082,-14.485
52,4.7635,-11.878
56,6.4325,-14.483
59,9.0665,-13.578
62,8.4582,-11.925
63,3.9062,-8.185
66,4.9995,-7.4703
67,5.6674,-12.4
69,4.8195,-11.056
71,9.7509,-12.452
72,4.7311,-9.2822
75,6.3707,-15.996
76,4.4056,-11.537
79,8.9374,-16.642
87,8.1149,-12.674
88,6.4972,-14.041
98,4.528,-11.409
102,7.7519,-13.712
103,6.1878,-13.779
104,2.3551,-11.179
110,7.7527,-11.385
115,4.6026,-13.604
116,5.9782,-13.856
118,1.7106,-11.31
122,5.8141,-10.456
123,7.6968,-10.3
127,7.2966,-11.527
139,6.5527,-12.624
140,4.8516,-11.715
141,5.1917,-8.8374
142,5.0449,-9.9851
145,6.9902,-16.318
146,5.402,-11.791
147,5.5417,-14.483
150,5.1101,-7.4703
154,8.3084,-10.468
156,3.1329,-7.5181
159,5.8258,-8.3471
160,5.4505,-12.83
162,5.7007,-10.505
165,6.9361,-9.6097
174,5.3832,-12.135
185,7.0264,-6.7935
189,7.3654,-10.513
190,4.9961,-10.291
191,7.2582,-12.49
194,4.6618,-12.392
195,5.1505,-13.9
204,8.3874,-14.708
207,5.1036,-10.869
210,7.0153,-14.448
211,5.7191,-10.272
212,6.3217,-11.679
214,5.5983,-12.17
216,6.7487,-13.822
217,7.4379,-12.66
223,4.8684,-9.6653
224,8.8811,-13.142
229,6.9961,-12.859
234,3.2227,-10.434
236,3.5648,-12.022
237,4.655,-9.7698
241,6.7226,-11.374
243,8.2838,-9.9657
245,7.6922,-12.621
250,4.8595,-10.257
251,5.3535,-14.923
254,5.4482,-10.578
258,5.0154,-13.647
260,7.6419,-11.753
262,7.382,-13.709
263,6.1891,-12.427
268,4.7091,-10.853
272,4.5632,-14.424
277,9.3137,-15.447
281,6.7057,-14.912
285,7.2285,-13.681
286,6.3216,-10.639
287,5.214,-10.187
293,7.1456,-12.716
297,5.6362,-12.381
299,4.6047,-10.232
302,7.16,-11.98
303,6.7672,-15.378
305,5.9165,-13.235
307,4.7469,-13.634
309,5.1271,-10.29
312,6.1089,-13.798
318,5.306,-9.7091
322,6.0244,-7.3423
324,7.3735,-11.335
325,5.7981,-13.298
326,7.1825,-11.401
329,4.7724,-12.665
330,5.9303,-12.765
332,4.2519,-10.203
333,5.1283,-9.7899
341,7.6535,-15.098
342,2.5571,-12.464
345,7.5792,-11.259
353,4.7315,-9.8614
354,6.0278,-12.482
357,4.8999,-10.609
359,5.8778,-11.35
362,4.307,-10.872
364,7.7088,-13.284
372,4.9223,-10.794
373,6.544,-12.439
374,5.9205,-10.306
375,6.2438,-15.248
380,5.5149,-8.5802
384,5.8013,-10.868
386,9.952,-14.878
391,6.5674,-12.536
401,5.8133,-13.429
402,7.4747,-12.222
407,5.8759,-13.22
408,6.6099,-10.917
409,6.2556,-13.451
411,7.0381,-14.725
412,4.1057,-10.449
414,6.7565,-13.5
416,4.5526,-9.6639
421,4.8613,-13.973
424,7.3344,-14.776
427,0.78739,-7.4675
445,5.6237,-8.5299
447,4.5153,-9.2766
448,6.419,-14.689
449,8.6299,-13.413
458,9.7905,-13.845
464,7.9715,-15.329
468,5.045,-14.445
471,2.1757,-8.6404
473,5.5631,-9.1648
474,7.0393,-11.514
476,8.8217,-11.537
477,7.0692,-13.727
481,8.3001,-13.035
488,4.3649,-11.26
499,6.5769,-11.129
