,x,y
1634,324.21875,2437.5
724,281.25,2296.875
902,324.21875,2300.78125
1486,320.3125,2449.21875
1471,328.125,2363.28125
1415,308.59375,2300.78125
2232,300.78125,2308.59375
2310,250.0,2371.09375
215,324.21875,2171.875
439,367.1875,2179.6875
1915,300.78125,2320.3125
303,320.3125,2167.96875
1830,296.875,2253.90625
70,261.71875,2355.46875
1227,316.40625,2312.5
572,359.375,2218.75
2256,277.34375,2332.03125
993,363.28125,2269.53125
486,308.59375,2183.59375
2207,265.625,2316.40625
1405,316.40625,2257.8125
1348,292.96875,2246.09375
1969,320.3125,2316.40625
1819,292.96875,2234.375
342,347.65625,2203.125
918,312.5,2289.0625
311,320.3125,2160.15625
1019,312.5,2269.53125
1365,300.78125,2269.53125
1085,285.15625,2273.4375
725,316.40625,2296.875
865,292.96875,2285.15625
1923,253.90625,2335.9375
809,265.625,2324.21875
1272,316.40625,2324.21875
935,335.9375,2304.6875
1366,308.59375,2265.625
1170,300.78125,2226.5625
1944,328.125,2316.40625
838,285.15625,2304.6875
2124,246.09375,2292.96875
7,265.625,2378.90625
2098,285.15625,2210.9375
756,300.78125,2281.25
2193,261.71875,2316.40625
2287,246.09375,2410.15625
1882,332.03125,2179.6875
630,296.875,2261.71875
2162,269.53125,2339.84375
2056,265.625,2269.53125
671,308.59375,2300.78125
1134,296.875,2203.125
813,292.96875,2335.9375
64,265.625,2351.5625
1219,324.21875,2308.59375
1469,312.5,2347.65625
2357,281.25,2339.84375
234,320.3125,2199.21875
1963,281.25,2359.375
1150,308.59375,2207.03125
150,300.78125,2226.5625
1066,347.65625,2304.6875
2322,253.90625,2375.0
107,289.0625,2242.1875
1381,304.6875,2289.0625
1109,343.75,2238.28125
1195,292.96875,2332.03125
18,246.09375,2363.28125
534,371.09375,2222.65625
190,312.5,2132.8125
1616,324.21875,2339.84375
607,289.0625,2304.6875
1351,300.78125,2242.1875
403,351.5625,2171.875
461,382.8125,2203.125
1870,324.21875,2242.1875
1734,332.03125,2375.0
310,312.5,2156.25
172,312.5,2257.8125
274,335.9375,2207.03125
489,316.40625,2199.21875
15,277.34375,2382.8125
1163,289.0625,2191.40625
186,308.59375,2214.84375
836,328.125,2324.21875
168,300.78125,2253.90625
597,300.78125,2320.3125
1464,304.6875,2320.3125
651,300.78125,2273.4375
1021,355.46875,2269.53125
1642,312.5,2449.21875
2027,277.34375,2296.875
975,312.5,2273.4375
1677,332.03125,2417.96875
592,289.0625,2292.96875
1480,339.84375,2406.25
1793,273.4375,2281.25
1863,332.03125,2234.375
227,324.21875,2195.3125
2208,261.71875,2324.21875
845,292.96875,2292.96875
1814,289.0625,2226.5625
745,296.875,2292.96875
878,289.0625,2296.875
979,312.5,2269.53125
66,265.625,2351.5625
221,324.21875,2187.5
26,261.71875,2378.90625
1747,304.6875,2312.5
1894,292.96875,2171.875
771,300.78125,2261.71875
36,269.53125,2398.4375
1441,312.5,2156.25
1334,277.34375,2210.9375
1410,312.5,2300.78125
476,308.59375,2171.875
604,292.96875,2304.6875
1523,324.21875,2457.03125
773,300.78125,2257.8125
2237,3.90625,304.6875
1730,316.40625,2398.4375
456,371.09375,2207.03125
802,324.21875,2316.40625
1635,320.3125,2460.9375
2121,246.09375,2273.4375
1414,312.5,2304.6875
1024,312.5,2269.53125
854,312.5,2285.15625
872,312.5,2300.78125
2349,277.34375,2351.5625
2201,269.53125,2320.3125
1014,312.5,2277.34375
2119,285.15625,2300.78125
986,316.40625,2269.53125
2369,269.53125,2308.59375
414,359.375,2179.6875
1114,335.9375,2234.375
1259,304.6875,2320.3125
1062,289.0625,2289.0625
1417,304.6875,2300.78125
2243,292.96875,2292.96875
1654,335.9375,2421.875
982,316.40625,2269.53125
2215,261.71875,2339.84375
1626,312.5,2425.78125
1171,296.875,2242.1875
905,316.40625,2328.125
1399,316.40625,2257.8125
1753,304.6875,2261.71875
1318,269.53125,2179.6875
2126,242.1875,2289.0625
67,253.90625,2355.46875
1347,292.96875,2253.90625
633,300.78125,2261.71875
1573,312.5,2273.4375
1826,289.0625,2250.0
121,347.65625,2179.6875
2187,253.90625,2320.3125
1856,320.3125,2246.09375
1239,320.3125,2296.875
1173,304.6875,2195.3125
388,347.65625,2164.0625
214,328.125,2164.0625
1952,253.90625,2347.65625
831,265.625,2332.03125
1846,304.6875,2269.53125
1383,320.3125,2285.15625
1736,316.40625,2402.34375
690,292.96875,2296.875
1093,308.59375,2257.8125
778,292.96875,2246.09375
781,300.78125,2265.625
537,355.46875,2226.5625
58,265.625,2359.375
1662,335.9375,2410.15625
1941,261.71875,2347.65625
1180,324.21875,2277.34375
1990,230.46875,2238.28125
72,265.625,2355.46875
1244,328.125,2296.875
727,277.34375,2296.875
183,296.875,2230.46875
1094,300.78125,2253.90625
2241,281.25,2296.875
1589,312.5,2234.375
2354,269.53125,2328.125
213,324.21875,2175.78125
759,300.78125,2273.4375
2040,277.34375,2281.25
147,296.875,2226.5625
1783,289.0625,2289.0625
2140,253.90625,2332.03125
2286,253.90625,2402.34375
1097,289.0625,2234.375
703,289.0625,2296.875
1420,304.6875,2304.6875
2130,246.09375,2312.5
2263,257.8125,2371.09375
678,214.84375,2261.71875
1836,296.875,2257.8125
302,324.21875,2160.15625
1699,335.9375,2457.03125
1613,304.6875,2363.28125
743,296.875,2296.875
1354,300.78125,2257.8125
1071,328.125,2289.0625
292,363.28125,2105.46875
1327,273.4375,2207.03125
2025,261.71875,2296.875
1369,304.6875,2277.34375
2118,105.46875,2316.40625
1050,347.65625,2269.53125
37,265.625,2390.625
661,289.0625,2273.4375
1661,339.84375,2417.96875
791,402.34375,2203.125
2325,277.34375,2351.5625
1865,324.21875,2250.0
108,253.90625,2257.8125
427,359.375,2187.5
88,273.4375,2351.5625
691,308.59375,2300.78125
77,261.71875,2343.75
981,312.5,2265.625
1834,289.0625,2261.71875
1443,296.875,2160.15625
1304,355.46875,1890.625
1673,335.9375,2417.96875
1473,328.125,2339.84375
1503,316.40625,2468.75
2386,1003.90625,1683.59375
1379,320.3125,2281.25
1848,300.78125,2277.34375
192,316.40625,2097.65625
1031,355.46875,2285.15625
1290,316.40625,2261.71875
1492,320.3125,2464.84375
684,277.34375,2296.875
1179,296.875,2289.0625
1353,292.96875,2253.90625
777,296.875,2238.28125
1015,308.59375,2269.53125
180,304.6875,2246.09375
1101,308.59375,2230.46875
599,281.25,2296.875
1560,316.40625,2347.65625
1665,335.9375,2414.0625
693,273.4375,2289.0625
492,316.40625,2183.59375
2353,253.90625,2359.375
1408,316.40625,2261.71875
1387,308.59375,2281.25
2014,265.625,2257.8125
808,320.3125,2335.9375
1212,324.21875,2300.78125
1325,285.15625,2203.125
16,242.1875,2347.65625
225,316.40625,2187.5
1463,300.78125,2308.59375
110,3.90625,2300.78125
1507,316.40625,2472.65625
420,363.28125,2183.59375
1156,367.1875,2230.46875
51,265.625,2371.09375
1650,332.03125,2425.78125
1881,320.3125,2199.21875
1727,320.3125,2406.25
1359,304.6875,2273.4375
1857,312.5,2250.0
1437,296.875,2164.0625
21,261.71875,2359.375
2114,257.8125,2363.28125
1682,332.03125,2457.03125
1828,292.96875,2269.53125
656,296.875,2273.4375
1127,335.9375,2214.84375
1825,296.875,2230.46875
1738,320.3125,2421.875
713,328.125,2300.78125
198,324.21875,2144.53125
545,359.375,2234.375
2180,257.8125,2328.125
1835,296.875,2242.1875
1988,1515.625,2023.4375
39,277.34375,2382.8125
655,300.78125,2265.625
497,335.9375,2187.5
1755,316.40625,2257.8125
758,300.78125,2273.4375
2151,253.90625,2339.84375
1879,320.3125,2203.125
1374,304.6875,2277.34375
1628,320.3125,2417.96875
1504,316.40625,2464.84375
1388,304.6875,2273.4375
1423,304.6875,2296.875
1509,320.3125,2472.65625
430,375.0,2183.59375
1992,371.09375,2128.90625
1785,312.5,2289.0625
2345,253.90625,2359.375
1931,324.21875,2281.25
2319,242.1875,2375.0
1802,277.34375,2242.1875
1213,316.40625,2300.78125
652,296.875,2273.4375
755,304.6875,2285.15625
47,253.90625,2367.1875
2299,257.8125,2398.4375
1376,312.5,2281.25
1058,277.34375,2289.0625
1125,316.40625,2210.9375
376,339.84375,2132.8125
1393,312.5,2273.4375
1878,320.3125,2195.3125
1739,324.21875,2417.96875
991,359.375,2265.625
542,359.375,2230.46875
2347,253.90625,2347.65625
1004,312.5,2277.34375
1860,332.03125,2218.75
792,351.5625,2371.09375
203,320.3125,2148.4375
208,324.21875,2156.25
2268,269.53125,2425.78125
862,292.96875,2289.0625
10,292.96875,2343.75
1489,316.40625,2453.125
505,335.9375,2191.40625
1230,324.21875,2320.3125
279,382.8125,2101.5625
1307,261.71875,2109.375
1933,281.25,2351.5625
653,296.875,2269.53125
322,328.125,2195.3125
694,285.15625,2285.15625
1185,296.875,2296.875
2043,265.625,2273.4375
942,304.6875,2300.78125
2384,1613.28125,2253.90625
646,300.78125,2261.71875
1160,367.1875,2253.90625
246,316.40625,2199.21875
1637,320.3125,2476.5625
1698,332.03125,2460.9375
830,335.9375,2335.9375
1916,273.4375,2328.125
2230,308.59375,2269.53125
2209,269.53125,2324.21875
2221,265.625,2335.9375
1530,335.9375,2417.96875
52,265.625,2371.09375
1343,304.6875,2222.65625
91,261.71875,2332.03125
1064,351.5625,2308.59375
1107,285.15625,2222.65625
1013,320.3125,2277.34375
1276,320.3125,2312.5
2250,2496.09375,2500.0
2278,300.78125,2433.59375
1036,355.46875,2281.25
85,257.8125,2335.9375
1957,265.625,2335.9375
1859,320.3125,2222.65625
2152,250.0,2335.9375
255,316.40625,2203.125
1291,351.5625,2214.84375
857,292.96875,2285.15625
1576,304.6875,2210.9375
1143,343.75,2207.03125
195,316.40625,2117.1875
2281,246.09375,2378.90625
372,343.75,2117.1875
564,359.375,2234.375
1982,281.25,2332.03125
1965,308.59375,2339.84375
1529,328.125,2425.78125
1265,343.75,2320.3125
2308,277.34375,2339.84375
1703,335.9375,2445.3125
90,277.34375,2339.84375
2228,296.875,722.65625
1017,316.40625,2269.53125
614,292.96875,2300.78125
1280,304.6875,2277.34375
513,343.75,2195.3125
1627,312.5,2429.6875
1505,316.40625,2472.65625
689,312.5,2304.6875
454,359.375,2187.5
2301,238.28125,2398.4375
1578,296.875,2230.46875
1598,312.5,2269.53125
1964,285.15625,2339.84375
567,359.375,2234.375
1790,277.34375,2289.0625
999,320.3125,2277.34375
1615,304.6875,2363.28125
2343,234.375,2359.375
1490,316.40625,2457.03125
118,285.15625,2191.40625
518,339.84375,2191.40625
1181,300.78125,2308.59375
641,296.875,2257.8125
293,328.125,2105.46875
1281,351.5625,2273.4375
784,316.40625,2285.15625
1407,320.3125,2246.09375
1166,347.65625,2187.5
181,300.78125,2238.28125
308,308.59375,2160.15625
229,320.3125,2203.125
732,304.6875,2312.5
1499,308.59375,2449.21875
1385,312.5,2289.0625
1792,296.875,2265.625
2007,265.625,2332.03125
111,265.625,2273.4375
1370,300.78125,2281.25
1392,308.59375,2265.625
1516,316.40625,2476.5625
1875,320.3125,2214.84375
2062,292.96875,2246.09375
816,339.84375,2343.75
1913,269.53125,2320.3125
425,367.1875,2187.5
1709,339.84375,2453.125
1018,308.59375,2269.53125
586,2042.96875,2292.96875
2252,292.96875,691.40625
2340,242.1875,2359.375
1030,343.75,2285.15625
663,304.6875,2289.0625
187,304.6875,2210.9375
398,347.65625,2164.0625
1972,324.21875,2339.84375
1186,285.15625,2289.0625
2021,281.25,2285.15625
415,363.28125,2183.59375
1706,335.9375,2464.84375
579,378.90625,2218.75
2251,316.40625,2121.09375
1574,328.125,2230.46875
1928,261.71875,2343.75
2258,269.53125,2339.84375
1372,312.5,2281.25
665,328.125,2300.78125
1968,292.96875,2316.40625
2194,261.71875,2316.40625
1346,296.875,2257.8125
494,324.21875,2191.40625
682,273.4375,2296.875
1483,324.21875,2433.59375
1612,304.6875,2351.5625
680,277.34375,2300.78125
6,277.34375,1886.71875
2352,250.0,2343.75
701,289.0625,2300.78125
1930,250.0,2355.46875
1822,289.0625,2246.09375
1737,320.3125,2394.53125
1508,320.3125,2476.5625
1349,296.875,2250.0
581,367.1875,2203.125
1752,308.59375,2250.0
2182,265.625,2320.3125
431,363.28125,2183.59375
40,261.71875,2386.71875
967,316.40625,2289.0625
1384,304.6875,2289.0625
2116,292.96875,2277.34375
1155,308.59375,2210.9375
345,339.84375,2203.125
1461,300.78125,2273.4375
1786,296.875,2289.0625
2223,246.09375,2339.84375
978,304.6875,2265.625
1457,304.6875,2281.25
974,339.84375,2273.4375
351,335.9375,2203.125
304,320.3125,2160.15625
287,324.21875,2050.78125
1350,289.0625,2246.09375
1563,312.5,2347.65625
1406,324.21875,2242.1875
1299,308.59375,2199.21875
525,339.84375,2210.9375
1771,292.96875,2289.0625
2181,253.90625,2324.21875
950,292.96875,2304.6875
1817,292.96875,2242.1875
233,316.40625,2199.21875
1553,324.21875,2371.09375
536,359.375,2226.5625
1296,308.59375,2289.0625
209,328.125,2152.34375
2294,238.28125,2390.625
1029,332.03125,2285.15625
1649,328.125,2433.59375
958,289.0625,2304.6875
1713,347.65625,2445.3125
1893,304.6875,2187.5
1854,300.78125,2265.625
269,332.03125,2234.375
965,320.3125,2296.875
154,289.0625,2234.375
2280,238.28125,2390.625
2127,234.375,2296.875
1487,328.125,2457.03125
848,277.34375,2277.34375
1640,320.3125,2468.75
106,289.0625,2277.34375
1808,289.0625,2234.375
237,316.40625,2203.125
1082,265.625,2265.625
1535,343.75,2382.8125
2080,296.875,2269.53125
1047,332.03125,2246.09375
389,335.9375,2164.0625
1891,304.6875,2191.40625
478,308.59375,2183.59375
2200,261.71875,2316.40625
438,371.09375,2179.6875
2272,312.5,2195.3125
1126,371.09375,2195.3125
1787,281.25,2292.96875
692,292.96875,2292.96875
1358,296.875,2273.4375
238,320.3125,2203.125
683,265.625,2296.875
134,300.78125,2195.3125
367,371.09375,2140.625
1518,308.59375,2480.46875
1466,300.78125,2324.21875
1396,316.40625,2269.53125
911,320.3125,2261.71875
261,308.59375,2214.84375
1773,281.25,2292.96875
785,300.78125,2292.96875
1564,308.59375,2359.375
969,300.78125,2281.25
894,351.5625,2277.34375
931,273.4375,2281.25
2129,253.90625,2316.40625
167,289.0625,2253.90625
1032,316.40625,2277.34375
956,289.0625,2304.6875
826,324.21875,2339.84375
1901,421.875,1953.125
850,273.4375,2277.34375
95,253.90625,2312.5
383,343.75,2152.34375
1950,285.15625,2339.84375
1234,320.3125,2332.03125
2029,269.53125,2289.0625
331,328.125,2199.21875
1152,304.6875,2203.125
696,269.53125,2289.0625
2339,257.8125,2351.5625
1401,316.40625,2257.8125
2006,289.0625,2289.0625
334,332.03125,2195.3125
1646,328.125,2437.5
1123,304.6875,2207.03125
1216,324.21875,2320.3125
1468,312.5,2339.84375
1337,296.875,2191.40625
1890,320.3125,2183.59375
2311,253.90625,2371.09375
56,265.625,2359.375
1513,316.40625,2476.5625
1940,269.53125,2343.75
370,359.375,2105.46875
1110,281.25,2226.5625
131,320.3125,2175.78125
462,375.0,2199.21875
711,289.0625,2285.15625
299,304.6875,2140.625
1161,285.15625,2218.75
2218,269.53125,2312.5
603,277.34375,2304.6875
648,300.78125,2257.8125
27,261.71875,2378.90625
1059,273.4375,2289.0625
1672,328.125,2433.59375
1060,339.84375,2296.875
852,308.59375,2285.15625
317,328.125,2179.6875
1769,289.0625,2273.4375
2070,281.25,2257.8125
182,304.6875,2242.1875
306,320.3125,2164.0625
1139,296.875,2199.21875
757,296.875,2281.25
2282,250.0,2378.90625
1623,312.5,2441.40625
613,292.96875,2308.59375
1692,335.9375,2464.84375
1815,289.0625,2218.75
