,x,y
3,781.25,1101.5625
5,792.96875,1082.03125
6,781.25,1085.9375
7,777.34375,1085.9375
8,773.4375,1097.65625
11,917.96875,1500.0
14,765.625,1089.84375
16,757.8125,1140.625
26,773.4375,1117.1875
27,753.90625,1121.09375
32,738.28125,1117.1875
35,734.375,1128.90625
39,722.65625,1136.71875
40,730.46875,1128.90625
42,722.65625,1140.625
43,722.65625,1144.53125
44,722.65625,1140.625
56,703.125,1152.34375
59,710.9375,1152.34375
63,703.125,1152.34375
64,695.3125,1152.34375
65,707.03125,1148.4375
66,691.40625,1148.4375
72,695.3125,1148.4375
76,703.125,1140.625
77,699.21875,1148.4375
83,687.5,1152.34375
86,691.40625,1144.53125
88,691.40625,1148.4375
90,691.40625,1148.4375
91,695.3125,1148.4375
100,695.3125,1148.4375
104,1027.34375,1500.0
105,667.96875,1210.9375
107,703.125,1136.71875
108,695.3125,1128.90625
110,695.3125,1113.28125
111,695.3125,1105.46875
113,699.21875,1085.9375
126,695.3125,1085.9375
130,691.40625,1101.5625
132,695.3125,1101.5625
134,695.3125,1109.375
141,703.125,1121.09375
147,707.03125,1132.8125
148,707.03125,1136.71875
153,710.9375,1148.4375
157,703.125,1148.4375
158,703.125,1152.34375
159,703.125,1148.4375
164,687.5,1164.0625
171,687.5,1097.65625
176,683.59375,1062.5
181,687.5,1058.59375
190,695.3125,1066.40625
203,691.40625,1093.75
216,699.21875,1121.09375
225,699.21875,1136.71875
228,703.125,1144.53125
229,703.125,1144.53125
235,703.125,1152.34375
240,703.125,1140.625
246,703.125,1152.34375
247,710.9375,1156.25
248,703.125,1175.78125
249,675.78125,1183.59375
251,703.125,1160.15625
256,707.03125,1148.4375
262,707.03125,1109.375
263,710.9375,1132.8125
264,707.03125,1121.09375
265,707.03125,1121.09375
270,710.9375,1132.8125
272,714.84375,1132.8125
273,718.75,1132.8125
275,718.75,1132.8125
279,714.84375,1140.625
291,718.75,1164.0625
305,726.5625,1187.5
308,722.65625,1199.21875
311,722.65625,1207.03125
315,726.5625,1214.84375
317,726.5625,1218.75
320,726.5625,1222.65625
321,726.5625,1222.65625
324,726.5625,1226.5625
327,718.75,1234.375
331,722.65625,1210.9375
332,726.5625,1214.84375
334,714.84375,1222.65625
335,722.65625,1210.9375
336,718.75,1210.9375
338,714.84375,1218.75
340,726.5625,1226.5625
344,714.84375,1187.5
346,714.84375,1187.5
349,722.65625,1175.78125
350,726.5625,1183.59375
353,730.46875,1187.5
355,734.375,1183.59375
358,742.1875,1191.40625
363,746.09375,1199.21875
365,746.09375,1203.125
376,746.09375,1238.28125
380,746.09375,1257.8125
381,750.0,1257.8125
382,746.09375,1261.71875
383,750.0,1265.625
385,750.0,1273.4375
386,750.0,1277.34375
387,750.0,1281.25
392,750.0,1292.96875
393,750.0,1292.96875
396,750.0,1292.96875
398,753.90625,1292.96875
402,753.90625,1289.0625
408,753.90625,1285.15625
409,753.90625,1285.15625
411,753.90625,1285.15625
413,753.90625,1289.0625
414,753.90625,1289.0625
418,753.90625,1289.0625
423,753.90625,1261.71875
424,750.0,1261.71875
425,742.1875,1265.625
429,746.09375,1265.625
436,710.9375,1187.5
437,699.21875,1187.5
438,710.9375,1175.78125
441,714.84375,1167.96875
445,726.5625,1152.34375
446,726.5625,1160.15625
449,726.5625,1156.25
451,730.46875,1152.34375
456,726.5625,1152.34375
458,730.46875,1152.34375
462,730.46875,1167.96875
476,730.46875,1183.59375
477,734.375,1183.59375
478,730.46875,1187.5
480,734.375,1191.40625
481,726.5625,1191.40625
482,726.5625,1195.3125
485,730.46875,1203.125
492,730.46875,1214.84375
495,730.46875,1218.75
497,734.375,1222.65625
500,734.375,1230.46875
502,734.375,1234.375
504,730.46875,1238.28125
508,730.46875,1238.28125
514,730.46875,1238.28125
516,730.46875,1242.1875
519,734.375,1246.09375
520,726.5625,1242.1875
523,722.65625,1234.375
525,726.5625,1230.46875
527,714.84375,1230.46875
531,699.21875,1222.65625
533,746.09375,1195.3125
534,769.53125,1210.9375
537,746.09375,1140.625
539,738.28125,1140.625
542,753.90625,1128.90625
544,761.71875,1121.09375
545,761.71875,1117.1875
549,757.8125,1113.28125
556,765.625,1109.375
557,769.53125,1109.375
558,769.53125,1109.375
